year,per_toxic_stations_west,per_toxic_stations_east,norm_tox_west,norm_tox_east,duration_west,duration_east,hab_index_west,hab_index_east,n_stations_w,n_stations_e,n_toxic_w,n_toxic_e,onset_west,onset_east,end_west,end_east
1975,76.74418604651163,75,1316.4418604651162,847.5,161,80,11,8,43,12,33,9,91,150,252,230
1976,78.94736842105263,33.33333333333333,804.2631578947369,127.25,97,97,8,5,38,12,30,4,114,125,211,222
1977,65.9090909090909,75,2614.1136363636365,136.5,195,40,13,6,44,8,29,6,111,269,306,309
1978,88.1578947368421,71.42857142857143,7496.236842105263,533.7428571428571,205,94,15,8,76,35,67,25,62,137,267,231
1979,78.04878048780488,38.88888888888889,2164.682926829268,449.94444444444446,161,55,13,5,82,18,64,7,108,165,269,220
1980,64.64646464646465,50.70422535211267,3507.4949494949497,1021.6478873239437,241,156,14,10,99,71,64,36,113,135,354,291
1981,76.34408602150538,27.27272727272727,1999.279569892473,378.1090909090909,234,197,13,7,93,55,71,15,12,67,246,264
1982,72.97297297297297,45.45454545454545,875.027027027027,497.1136363636364,196,98,10,6,74,44,54,20,76,173,272,271
1983,77.94117647058823,28.8135593220339,1356.764705882353,373.49152542372883,125,140,10,6,68,59,53,17,111,130,236,270
1984,90.66666666666666,45.45454545454545,1924.2666666666667,428.5272727272727,105,113,12,7,75,55,68,25,110,128,215,241
1985,41.66666666666667,47.61904761904761,350.3833333333333,672.1428571428571,111,126,7,8,60,42,25,20,141,141,252,267
1986,86.41975308641975,42.5,5757.061728395061,1182.525,229,194,15,10,81,40,70,17,39,72,268,266
1987,76.19047619047619,34.146341463414636,969.2222222222222,197.3170731707317,176,145,10,6,63,41,48,14,103,126,279,271
1988,81.42857142857143,51.21951219512195,936.0571428571428,283.390243902439,95,113,9,7,70,41,57,21,123,122,218,235
1989,89.33333333333333,51.92307692307693,2865.786666666667,933.2115384615385,129,135,13,8,75,52,67,27,135,137,264,272
1990,82.43243243243244,48.64864864864865,567.7702702702703,601.2432432432432,105,126,10,8,74,37,61,18,100,134,205,260
1991,66.66666666666666,31.11111111111111,207.52631578947367,247.86666666666667,195,64,9,5,57,45,38,14,2,161,197,225
1992,33.87096774193548,38.63636363636363,52.096774193548384,161.70454545454547,102,133,6,6,62,44,21,17,122,140,224,273
1993,77.04918032786885,44.680851063829785,646.4262295081967,930.936170212766,71,133,8,8,61,47,47,21,123,137,194,270
1994,41.81818181818181,38.63636363636363,76.6,210.8181818181818,36,52,5,5,55,44,23,17,143,157,179,209
1995,48.38709677419355,46.34146341463415,145.46774193548387,761.2439024390244,52,92,6,7,62,41,30,19,128,135,180,227
1996,12.727272727272727,21.875,8.672727272727272,50.5,62,42,4,4,55,32,7,7,116,169,178,211
1997,30.612244897959183,13.157894736842104,44.224489795918366,12.236842105263158,23,20,4,3,49,38,15,5,147,175,170,195
1998,33.33333333333333,27.659574468085108,95.03508771929825,41.361702127659576,49,49,4,4,57,47,19,13,131,145,180,194
1999,8.16326530612245,17.94871794871795,5.775510204081633,34.87179487179487,23,57,3,4,49,39,4,7,130,158,153,215
2000,69.6969696969697,4.3478260869565215,485.6515151515151,8.630434782608695,51,55,7,4,66,46,46,2,122,158,173,213
2001,12.5,45,15.208333333333334,332.7,60,77,4,6,48,60,6,27,155,156,215,233
2002,36.53846153846153,21.153846153846153,74.71153846153847,52.40384615384615,156,56,7,5,52,52,19,11,114,168,270,224
2003,49.09090909090909,55.73770491803278,126.45454545454545,822.0655737704918,163,122,8,8,55,61,27,34,131,188,294,310
2004,69.64285714285714,64.0625,331.60714285714283,1693.953125,147,155,8,12,56,64,39,41,111,132,258,287
2005,83.60655737704919,50,1595.5409836065573,454.63793103448273,94,118,11,7,61,58,51,29,122,124,216,242
2006,68.42105263157895,41.66666666666667,374.3157894736842,217.46666666666667,106,95,8,6,57,60,39,25,109,131,215,226
2007,53.333333333333336,51.85185185185185,123.8,287.05555555555554,106,103,7,7,60,54,32,28,120,150,226,253
2008,74.50980392156863,62.5,392.7647058823529,825.3214285714286,89,112,7,9,51,56,38,35,115,127,204,239
2009,91.83673469387756,69.0909090909091,1874.0408163265306,1500.5636363636363,139,102,12,10,49,55,45,38,112,173,251,275
2010,34.61538461538461,42.857142857142854,87.21153846153847,281.48214285714283,91,105,5,7,52,56,18,24,81,116,172,221
2011,63.829787234042556,44.89795918367347,375,256.3673469387755,76,84,7,6,47,49,30,22,110,136,186,220
2012,82.25806451612904,94.33962264150944,242.47854998387095,450.34171023396226,66,99,8,8,62,53,51,50,121,107,187,206
2013,88.46153846153845,84.21052631578947,260.5944042307692,246.0498612631579,142,140,9,9,52,57,46,48,120,121,262,261
2014,62.96296296296296,34.69387755102041,243.01460185185186,178.0581093877551,57,92,7,5,54,49,34,17,131,152,188,244
2015,10.526315789473683,18.51851851851852,37.462211228070174,45.343882407407406,42,54,3,4,57,54,6,10,124,189,166,243
2016,21.818181818181817,27.77777777777778,33.96634636363636,67.95123407407408,48,35,4,4,55,54,12,15,117,157,165,192
2017,59.375,24,1008.66574984375,70.461563,81,70,8,5,64,50,38,12,124,142,205,212
2018,25.454545454545453,30.952380952380953,46.170843272727275,98.13653761904763,43,47,4,4,55,42,14,13,120,163,163,210
2019,65.57377049180327,28.57142857142857,341.46106442622954,178.99634,85,56,7,5,61,42,40,12,119,160,204,216
2020,0,14.285714285714285,0,26.903280714285717,-Inf,14,2,3,48,28,0,4,NA,173,NA,187
2021,4.25531914893617,0,8.470839513881069,0,33,-Inf,3,2,47,21,2,0,111,NA,144,NA
